milestone	id	ledger_status	production_class	owning_production_task	current_evidence
M4	M4-14	Complete	production-available	PROD-current-composition	audited shipped composition: API getRuntime
M4	M4-15	Complete	production-available	PROD-current-composition	audited shipped composition: API getAsset
M4	M4-16	Complete	production-available	T05-inventory-cutover	production evidence: six-category Kubernetes RBAC rules derive from canonical tenant-scoped inventory and fail closed on malformed provider authority
M4	M4-17	Complete	production-available	T05-inventory-cutover	production evidence: API-role keyset graph query traverses Agent identity, binding, and role authority with foreign-tenant denial
M4	M4-18	Complete	production-available	T05-inventory-cutover	production evidence: canonical provider observations upgrade reachable capabilities to observed while retaining sorted evidence authority
M4	M4-19	Complete	production-available	T05-inventory-cutover	production evidence: tenant-scoped PostgreSQL capability authority upgrades observed reachability to verified and blocked while retaining underlying reachability and exact evidence at e8a046b
M4	M4-20	Complete	production-available	T05-inventory-cutover	production evidence: source-owned ownerless-agent posture refresh persists exact tenant evidence, risk factor, resolution, and foreign-tenant isolation at 2b768d6
M4	M4-21	Complete	production-available	T05-inventory-cutover	production evidence: source-owned human-credential posture refresh persists and resolves exact evidence-backed findings at 2b768d6
M4	M4-22	Complete	production-available	T05-inventory-cutover	production evidence: shared credential fingerprint across active agents produces exact evidence-backed finding authority and clears on false posture at 2b768d6
M4	M4-23	Complete	production-available	T05-inventory-cutover	production evidence: untrusted input plus production write produces an exact evidence-backed tenant finding and deterministic risk factor at 2b768d6
M4	M4-24	Complete	production-available	T05-inventory-cutover	production evidence: shell execution plus production credential produces an exact evidence-backed tenant finding and deterministic risk factor at 2b768d6
M4	M4-25	Complete	production-available	T05-inventory-cutover	production evidence: unrestricted egress plus sensitive-data reach produces an exact evidence-backed tenant finding and deterministic risk factor at 2b768d6
M4	M4-26	Complete	production-available	T05-inventory-cutover	production evidence: unapproved remote tool reach produces an exact evidence-backed tenant finding and deterministic risk factor at 2b768d6
M4	M4-27	Complete	production-available	T05-inventory-cutover	production evidence: destructive tool reach without runtime control produces an exact evidence-backed tenant finding and deterministic risk factor at 2b768d6
M4	M4-28	Complete	production-available	T05-inventory-cutover	production evidence: production agent without supported runtime policy produces exact evidence and clears after supported coverage appears at 2b768d6
M4	M4-29	Complete	production-available	T05-inventory-cutover	production evidence: host filesystem or privileged runtime posture produces exact isolation evidence and deterministic risk factor at 2b768d6
M4	M4-30	Complete	production-available	T05-inventory-cutover	production evidence: CI/CD write plus production-secret reach produces exact evidence and deterministic risk factor at 2b768d6
M4	M4-31	Complete	production-available	T05-inventory-cutover	production evidence: inactive agent with active credential produces exact source evidence and resolves after credential deactivation at 2b768d6
M4	M4-32	Complete	production-available	T05-inventory-cutover	production evidence: only Prowler records bound to exact inventory entity and version-pinned artifact evidence enter the default tenant finding set at 18d4e9d
M4	M4-33	Complete	production-available	T05-inventory-cutover	production evidence: PostgreSQL finding detail returns exact explainable factor name and evidence ID for every persisted posture finding at 2b768d6
M4	M4-34	Complete	production-available	PROD-current-composition	audited shipped composition: API listFindings
M4	M4-35	Complete	production-available	PROD-current-composition	audited shipped composition: API getFinding
M4	M4-36	Complete	production-available	PROD-current-composition	audited shipped composition: API updateFinding
M4	M4-37	Complete	production-available	PROD-current-composition	audited shipped composition: API acceptFindingRisk
M4	M4-38	Complete	production-available	T14-data-workflows	production evidence: mounted tenant-scoped BrowserSession/PAT createFindingTicket API enforces If-Match, idempotency, CSRF, exact replay, and a strict generated contract
M4	M4-39	Complete	production-available	T14-data-workflows	production evidence: exact-one scoped generic webhook uses an opaque Secrets Manager reference, pinned DNS/CIDR TLS egress, HMAC redacted payloads, fenced leases, and replay without duplicate delivery
M4	M4-40	Complete	production-available	T05-inventory-cutover	production evidence: discovery reconciliation derives deterministic bounded finding-to-role attack paths from exact entry, sink, node, and evidence sets at 18d4e9d
M4	M4-41	Complete	production-available	T05-inventory-cutover	production evidence: tenant PostgreSQL path reads preserve observed and blocked state, exact node order, evidence, replay, complete-empty cleanup, and foreign-tenant isolation at 18d4e9d
M4	M4-42	Complete	production-available	T05-inventory-cutover	production evidence: derived paths persist deterministic ranked remove-node and enforce-policy options bound to the exact path evidence at 18d4e9d
M4	M4-43	Complete	production-available	PROD-current-composition	audited shipped composition: API listAttackPaths
M4	M4-44	Complete	production-available	PROD-current-composition	audited shipped composition: API getAttackPath
M4	M4-45	Complete	production-available	PROD-current-composition	audited shipped composition: API getAttackPathBreakOptions
M4	M4-46	Complete	production-available	PROD-current-composition	audited shipped composition: home summary service
M4	M4-47	Complete	production-available	PROD-current-composition	audited shipped composition: API getHomeSummary
M4	M4-48	Complete	production-available	T14-data-workflows	production evidence: exact tenant-scoped indexed PostgreSQL name/type/ID search rejects raw graph syntax and direct API table reads at f61fee2
M4	M4-49	Complete	production-available	T14-data-workflows	production evidence: mounted BrowserSession/PAT globalSearch API, strict OpenAPI/generated decoder, and production UI search at f61fee2
M4	M4-50a	Complete	production-available	PROD-current-composition	audited shipped composition: Agents table
M4	M4-50b1	Complete	production-available	PROD-current-composition	audited shipped composition: Agents ownership filters
M4	M4-50b2	Complete	production-available	PROD-current-composition	audited shipped composition: Agents capability filters
M4	M4-50b3	Complete	production-available	PROD-current-composition	audited shipped composition: Agents coverage filters
M4	M4-50c	Complete	production-available	PROD-current-composition	audited shipped composition: Agents coverage indicators
M4	M4-50	Complete	production-available	PROD-current-composition	audited shipped composition: Agents list UI
M4	M4-51a	Complete	production-available	PROD-current-composition	audited shipped composition: Agent detail header
M4	M4-51b1	Complete	production-available	PROD-current-composition	audited shipped composition: Agent identity section
M4	M4-51b2	Complete	production-available	PROD-current-composition	audited shipped composition: Agent tools section
M4	M4-51b3	Complete	production-available	PROD-current-composition	audited shipped composition: Agent runtime section
M4	M4-51c	Complete	production-available	PROD-current-composition	audited shipped composition: Agent capability section
M4	M4-51d	Complete	production-available	PROD-current-composition	audited shipped composition: Agent exposure section
M4	M4-51e	Complete	production-available	PROD-current-composition	audited shipped composition: Agent sessions/policies section
M4	M4-51	Complete	production-available	PROD-current-composition	audited shipped composition: Agent detail UI
M4	M4-52	Complete	production-available	PROD-current-composition	audited shipped composition: Tools UI
M4	M4-53	Complete	production-available	PROD-current-composition	audited shipped composition: Identities UI
M4	M4-54	Complete	production-available	PROD-current-composition	audited shipped composition: Runtimes UI
M4	M4-55	Complete	production-available	PROD-current-composition	audited shipped composition: Findings list UI
M4	M4-56	Complete	production-available	PROD-current-composition	audited shipped composition: Finding detail UI
M4	M4-57	Complete	production-available	PROD-current-composition	audited shipped composition: Attack Paths UI
M4	M4-58	Complete	production-available	PROD-current-composition	audited shipped composition: Home UI
M4	M4-59a	Complete	production-available	T05-inventory-cutover	installed-Chrome v14 golden journey proves typed lists, detail, deep-link reload, multi-source retention, partial/failed retention, and complete-empty removal
M4	M4-59b	Complete	production-available	T05-inventory-cutover	production evidence: canonical Kubernetes agent fixture derives observed, verified, and blocked effective capabilities with sorted evidence in PostgreSQL at e8a046b
M4	M4-59c	Complete	production-available	T05-inventory-cutover	production evidence: canonical agent fixture raises all applicable posture findings with exact evidence and risk factors, then resolves them without cross-tenant mutation at 2b768d6
M4	M4-59d	Complete	production-available	T05-inventory-cutover	production evidence: canonical Prowler finding derives a bounded evidence-state attack path and ranked break options in production PostgreSQL at 18d4e9d
M4	M4-59e	Complete	production-available	T05-inventory-cutover	production evidence: mounted ProductionRiskView renders Why, Evidence, Path, Fix, and Verify from authorized product APIs with path navigation at 2b768d6
M4	M4-59	Complete	production-available	T05-inventory-cutover	installed-Chrome v16 M4 gate proves tenant-scoped inventory, findings, paths, response-loss ticket retry, same-tab reload persistence, zero duplicate webhook delivery, and clean browser state
M5	M5-01	Complete	component-only	T12-red-team	audited component-only proof: test domain
M5	M5-02	Complete	component-only	T12-red-team	audited component-only proof: Promptfoo adapter
M5	M5-03	Complete	component-only	T12-red-team	audited component-only proof: curated pack selector
M5	M5-04	Complete	component-only	T12-red-team	audited component-only proof: test safety preflight
M5	M5-05	Complete	component-only	T12-red-team	audited component-only proof: API listTests
M5	M5-06	Complete	component-only	T12-red-team	audited component-only proof: API createTest
M5	M5-07	Complete	component-only	T12-red-team	audited component-only proof: API getTest
M5	M5-08	Complete	component-only	T12-red-team	audited component-only proof: API updateTest
M5	M5-09	Complete	component-only	T12-red-team	audited component-only proof: API runTest
M5	M5-10	Complete	component-only	T12-red-team	audited component-only proof: API listTestRuns
M5	M5-11	Complete	component-only	T12-red-team	audited component-only proof: API getTestRun
M5	M5-12	Complete	component-only	T12-red-team	audited component-only proof: API cancelTestRun
M5	M5-13	Complete	component-only	T12-red-team	audited component-only proof: test worker queue
M5	M5-14	Complete	component-only	T12-red-team	audited component-only proof: test evidence artifacts
M5	M5-15	Complete	component-only	T12-red-team	audited component-only proof: red team UI list/new
M5	M5-16	Complete	component-only	T12-red-team	audited component-only proof: red team result UI
M5	M5-17	Complete	component-only	T12-red-team	audited component-only proof: SandboxProvider contract
M5	M5-18	Complete	component-only	T12-red-team	audited component-only proof: Fargate provider create
M5	M5-19	Complete	component-only	T12-red-team	audited component-only proof: Fargate resource limits
M5	M5-20	Complete	component-only	T12-red-team	audited component-only proof: Fargate service account
M5	M5-21	Complete	component-only	T12-red-team	audited component-only proof: Fargate SG policy
M5	M5-22	Complete	component-only	T12-red-team	audited component-only proof: Attack Lab egress proxy token
M5	M5-23a	Complete	production-available	T13-attack-lab	production evidence: exact active tenant target preflight; composed API/worker/browser E2E
M5	M5-23b	Complete	production-available	T13-attack-lab	production evidence: versioned read-only credential binding; composed API/worker/browser E2E
M5	M5-23c	Complete	production-available	T13-attack-lab	production evidence: exact destination and single-host egress authority; composed API/worker/browser E2E
M5	M5-23d	Complete	production-available	T13-attack-lab	production evidence: source-run criterion and bounded side effects; composed API/worker/browser E2E
M5	M5-23	Complete	production-available	T13-attack-lab	production evidence: tenant-scoped fail-closed preflight API and explicit approval; installed-Chrome E2E
M5	M5-24	Complete	production-available	T13-attack-lab	production evidence: bounded non-production canary contract and isolated provider seam; composed worker E2E
M5	M5-25	Complete	production-available	T13-attack-lab	production evidence: manifest-last versioned evidence artifact and redacted five-line result; composed worker E2E
M5	M5-26	Complete	production-available	T13-attack-lab	production evidence: strict verified/not-reproduced/inconclusive verdict authority; composed worker E2E
M5	M5-27	Complete	production-available	T13-attack-lab	production evidence: tenant-scoped cursor-bounded listAttackLabRuns; public API/browser E2E
M5	M5-28	Complete	production-available	T13-attack-lab	production evidence: idempotent approved createAttackLabRun with durable outbox; public API/browser E2E
M5	M5-29	Complete	production-available	T13-attack-lab	production evidence: strict tenant-scoped getAttackLabRun with attempt evidence; public API/browser E2E
M5	M5-30	Complete	production-available	T13-attack-lab	production evidence: version-fenced cancel with terminal no-sandbox delivery; composed worker/browser E2E
M5	M5-31	Complete	production-available	T13-attack-lab	production evidence: version-fenced safe rerun with refreshed authority; public API/browser E2E
M5	M5-32	Complete	production-available	T13-attack-lab	production evidence: composed outbox/controller, leases, ACK-last, evidence and mandatory cleanup; real composition E2E
M5	M5-33a	Complete	production-available	T13-attack-lab	production evidence: exact target and criterion review in production Attack Lab route; installed-Chrome E2E
M5	M5-33b	Complete	production-available	T13-attack-lab	production evidence: exact allowed destination review without credential disclosure; installed-Chrome E2E
M5	M5-33c	Complete	production-available	T13-attack-lab	production evidence: CPU/memory/storage/time limits shown before approval; installed-Chrome E2E
M5	M5-33	Complete	production-available	T13-attack-lab	production evidence: explicit safety-decision checkbox gates run creation; installed-Chrome E2E
M5	M5-34	Complete	production-available	T13-attack-lab	production evidence: verdict/evidence/cleanup/rerun/cancel/reload UI; installed-Chrome E2E
M5	M5-35	Complete	production-available	T13-attack-lab	production evidence: schema v26, public API, composed workers, browser, tenant denial and secret-forensics gates
M6	M6-01	Complete	production-available	PROD-current-composition	audited shipped composition: policy domain
M6	M6-02	Complete	production-available	PROD-current-composition	audited shipped composition: policy validator
M6	M6-03	Complete	production-available	T06-runtime-data-plane	production evidence: OPA compiler; verified by Task 6 source/deploy review and focused race/release gates
M6	M6-04	Complete	production-available	T06-runtime-data-plane	production evidence: embedded evaluator; verified by Task 6 source/deploy review and focused race/release gates
M6	M6-05	Complete	production-available	T06-runtime-data-plane	production evidence: policy bundle signer; verified by Task 6 source/deploy review and focused race/release gates
M6	M6-06	Complete	production-available	T06-runtime-data-plane	production evidence: runtime bundle cache; verified by Task 6 source/deploy review and focused race/release gates
M6	M6-07	Complete	production-available	T06-runtime-data-plane	production evidence: internal policy bundle API; verified by Task 6 source/deploy review and focused race/release gates
M6	M6-08	Complete	production-available	PROD-current-composition	audited shipped composition: API listPolicies
M6	M6-09	Complete	production-available	PROD-current-composition	audited shipped composition: API createPolicy
M6	M6-10	Complete	production-available	PROD-current-composition	audited shipped composition: API getPolicy
M6	M6-11	Complete	production-available	PROD-current-composition	audited shipped composition: API updatePolicy
M6	M6-12	Complete	production-available	PROD-current-composition	audited shipped composition: API deletePolicy
M6	M6-13	Complete	production-available	T06-runtime-data-plane	production evidence: tenant-scoped simulatePolicy uses exact read-only OpenSearch history authority and returns bounded results; installed-Chrome schema-v27 E2E
M6	M6-14	Complete	production-available	PROD-current-composition	audited shipped composition: API rolloutPolicy
M6	M6-15	Complete	production-available	PROD-current-composition	audited shipped composition: API disablePolicy
M6	M6-16	Complete	production-available	T06-runtime-data-plane	production evidence: tenant-scoped listPolicyDecisions persists and returns exact policy IDs with stable paging; installed-Chrome schema-v27 E2E
M6	M6-17	Complete	production-available	T06-runtime-data-plane	production evidence: signed bounded OpenSearch query verifies exact index mapping and marker, tenant scope, limit, and one matching historical action; installed-Chrome E2E
M6	M6-18	Complete	production-available	PROD-current-composition	audited shipped composition: rollout state machine
M6	M6-19	Complete	production-available	T06-runtime-data-plane	production evidence: composed runtime gateway preserves allowlisted HTTP method, escaped path, query, body, and response through a pinned TLS upstream in the schema-v28 combined E2E
M6	M6-20	Complete	production-available	T06-runtime-data-plane	production evidence: shipped MCP route uses the strict bounded JSON-RPC parser and fixed POST-only upstream contract; focused race and release composition gates pass
M6	M6-21	Complete	production-available	T06-runtime-data-plane	production evidence: composed gateway binds principal, agent, session, environment, action, resource, route, and capability context before policy evaluation
M6	M6-22	Complete	production-available	T06-runtime-data-plane	production evidence: schema-v28 combined E2E proves a signed Block response with stable correlation and zero upstream calls
M6	M6-23	Complete	production-available	T06-runtime-data-plane	production evidence: composed gateway permits non-blocking decisions only through durable metadata-only evidence and exact replay-floor advancement; disk-backed race gates pass
M6	M6-24	Complete	production-available	T06-runtime-data-plane	production evidence: runtime decision internal API; verified by Task 6 source/deploy review and focused race/release gates
M6	M6-25	Complete	production-available	T06-runtime-data-plane	production evidence: policy bundle fallback; verified by Task 6 source/deploy review and focused race/release gates
M6	M6-26	Complete	production-available	T06-runtime-data-plane	production evidence: policy latency benchmark; verified by Task 6 source/deploy review and focused race/release gates
M6	M6-27	Complete	production-available	PROD-current-composition	audited shipped composition: Policies list UI
M6	M6-28	Complete	production-available	PROD-current-composition	audited shipped composition: Policy wizard UI
M6	M6-29	Complete	production-available	PROD-current-composition	audited shipped composition: Policy detail UI
M6	M6-30	Complete	production-available	T06-runtime-data-plane	production evidence: blocked runtime capability evidence survives browser reload while the authoritative reachability edge remains present in the schema-v28 combined E2E
M6	M6-31a	Complete	production-available	T06-runtime-data-plane	production evidence: installed-Chrome policy create and bounded simulation complete through shipped APIs with durable lost-response recovery
M6	M6-31b	Complete	production-available	T06-runtime-data-plane	production evidence: installed-Chrome monitor rollout and central signed deployment complete through production authorities
M6	M6-31c	Complete	production-available	T06-runtime-data-plane	production evidence: installed-Chrome enforcement drives a signed temporary Block through the composed gateway with zero upstream side effect
M6	M6-31d	Complete	production-available	T06-runtime-data-plane	production evidence: re-test records the exact blocked capability event, retains reachability, and survives reload
M6	M6-31e	Complete	production-available	T06-runtime-data-plane	production cached-outage gate: signed Block decision survives offline restart, persists exact decision evidence and bounded lost-response replay, rejects wall-clock rollback, drains under monotonic authority, and quarantines out-of-window evidence without falsifying timestamps
M6	M6-31	Complete	production-available	T06-runtime-data-plane	production evidence: full create, simulate, monitor, enforce, retest, cleanup, cached-outage, restart, and browser reload gate passes against disposable schema-v28 PostgreSQL
M7	M7-01	Complete	production-available	PROD-current-composition	audited shipped composition: session projection
M7	M7-02	Complete	production-available	PROD-current-composition	audited shipped composition: API listSessions
M7	M7-03	Complete	production-available	PROD-current-composition	audited shipped composition: API getSession
M7	M7-04	Complete	production-available	PROD-current-composition	audited shipped composition: API listSessionEvents
M7	M7-05	Complete	component-only	T14-data-workflows	audited component-only proof: session search filters
M7	M7-06	Complete	production-available	PROD-current-composition	audited shipped composition: Sessions list UI
M7	M7-07a	Complete	production-available	PROD-current-composition	audited shipped composition: Session timeline shell
M7	M7-07b	Complete	production-available	PROD-current-composition	audited shipped composition: Session event row
M7	M7-07c	Complete	production-available	PROD-current-composition	audited shipped composition: Session confidence/source
M7	M7-07	Complete	production-available	PROD-current-composition	audited shipped composition: Session detail UI
M7	M7-08	Complete	production-available	PROD-current-composition	audited shipped composition: compliance control model
M7	M7-09	Complete	production-available	PROD-current-composition	audited shipped composition: compliance evidence assembler
M7	M7-10	Complete	production-available	PROD-current-composition	audited shipped composition: API listComplianceControls
M7	M7-11	Complete	production-available	PROD-current-composition	audited shipped composition: API listComplianceEvidence
M7	M7-12	Complete	component-only	T14-data-workflows	audited component-only proof: API createComplianceExport
M7	M7-13	Complete	component-only	T14-data-workflows	audited component-only proof: API getComplianceExport
M7	M7-14	Complete	component-only	T14-data-workflows	audited component-only proof: compliance export artifact
M7	M7-15a	Complete	production-available	PROD-current-composition	audited shipped composition: Compliance framework/control list
M7	M7-15b	Complete	production-available	PROD-current-composition	audited shipped composition: Compliance evidence table
M7	M7-15c	Complete	production-available	PROD-current-composition	audited shipped composition: Compliance freshness/gaps
M7	M7-15d	Complete	component-only	T14-data-workflows	audited component-only proof: Compliance export action
M7	M7-15	Complete	production-available	PROD-current-composition	audited shipped composition: Compliance Evidence UI
M7	M7-16	Complete	production-available	PROD-current-composition	audited shipped composition: data control store
M7	M7-17	Complete	production-available	PROD-current-composition	audited shipped composition: API getDataControls
M7	M7-18	Complete	production-available	PROD-current-composition	audited shipped composition: API updateDataControls
M7	M7-19	Complete	component-only	T14-data-workflows	audited component-only proof: retention worker
M7	M7-20	Complete	production-available	PROD-current-composition	audited shipped composition: external flow model
M7	M7-21	Complete	production-available	PROD-current-composition	audited shipped composition: API getExternalDataFlows
M7	M7-22	Complete	component-only	T14-data-workflows	audited component-only proof: API updateExternalDataFlows
M7	M7-22a	Complete	component-only	T14-data-workflows	audited component-only proof: required external-flow guard
M7	M7-23	Complete	component-only	T14-data-workflows	audited component-only proof: PostHog serializer
M7	M7-24	Complete	component-only	T14-data-workflows	audited component-only proof: PostHog flag cache
M7	M7-25	Complete	component-only	T14-data-workflows	audited component-only proof: OpenRouter redaction
M7	M7-26a	Complete	component-only	T14-data-workflows	audited component-only proof: OpenRouter purpose and model policy
M7	M7-26b	Complete	component-only	T14-data-workflows	audited component-only proof: OpenRouter request limits
M7	M7-26c	Complete	component-only	T14-data-workflows	audited component-only proof: OpenRouter data policy metadata
M7	M7-26	Complete	component-only	T14-data-workflows	audited component-only proof: OpenRouter governance
M7	M7-27	Complete	component-only	T14-data-workflows	audited component-only proof: API createAIExplanation
M7	M7-28	Complete	component-only	T14-data-workflows	audited component-only proof: AI explanation UI
M7	M7-29	Complete	production-available	PROD-current-composition	audited shipped composition: system component probes
M7	M7-30	Complete	production-available	PROD-current-composition	audited shipped composition: API getSystemStatus
M7	M7-31	Complete	production-available	PROD-current-composition	audited shipped composition: API listSystemComponents
M7	M7-32	Complete	production-available	PROD-current-composition	audited shipped composition: API getSystemVersion
M7	M7-33	Complete	production-available	PROD-current-composition	audited shipped composition: System Health UI
M7	M7-34	Complete	production-available	PROD-current-composition	audited shipped composition: Data & Retention UI
M7	M7-35	Complete	production-available	PROD-current-composition	audited shipped composition: External Data Flows UI
M7	M7-36	Complete	production-available	PROD-current-composition	audited shipped composition: Audit Log UI
M7	M7-37	Complete	production-available	PROD-current-composition	audited shipped composition: Home/search UI binding
M7	M7-38	Complete	production-available	PROD-current-composition	audited shipped composition: full UI API map
M7	M7-39a	Complete	component-only	T14-data-workflows	audited component-only proof: stale connector UX
M7	M7-39b	Complete	component-only	T14-data-workflows	audited component-only proof: graph outage UX
M7	M7-39c	Complete	component-only	T14-data-workflows	audited component-only proof: event index outage UX
M7	M7-39d	Complete	component-only	T14-data-workflows	audited component-only proof: AI outage UX
M7	M7-39e	Complete	component-only	T14-data-workflows	audited component-only proof: OTLP outage UX
M7	M7-39	Complete	component-only	T14-data-workflows	audited component-only proof: degraded-state E2E
M7	M7-40a	Complete	production-available	PROD-current-composition	audited shipped composition: M7 session E2E
M7	M7-40b	Complete	production-available	PROD-current-composition	audited shipped composition: M7 compliance E2E
M7	M7-40c	Complete	production-available	PROD-current-composition	audited shipped composition: M7 data-control E2E
M7	M7-40d	Complete	production-available	PROD-current-composition	audited shipped composition: M7 system-health E2E
M7	M7-40e	Complete	component-only	T14-data-workflows	audited component-only proof: M7 AI degrade E2E
M7	M7-40f	Complete	production-available	PROD-current-composition	audited shipped composition: M7 UI API coverage E2E
M7	M7-40	Complete	component-only	T14-data-workflows	audited component-only proof: M7 gate
M7A	M7A-01	Complete	production-available	PROD-current-composition	audited shipped composition: Security Agent domain types
M7A	M7A-02	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: bounded run states and terminal transition fencing
M7A	M7A-03	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: versioned typed plans with bounded summaries
M7A	M7A-04	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: exact action metadata and registry filtering
M7A	M7A-05	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: tenant-scoped definition tables, indexes, ACLs, and readiness
M7A	M7A-06	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: tenant-scoped immutable-trigger run storage
M7A	M7A-07	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: ordered unique run-step storage
M7A	M7A-08	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: expiring single-decision approval storage
M7A	M7A-09	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: scoped replay receipts and exact prior outcomes
M7A	M7A-10	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent API: scoped definition create and detail
M7A	M7A-11	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent API: cursor list, update, and soft delete
M7A	M7A-12	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent API and worker: scoped run create, page, detail, and fenced state changes
M7A	M7A-13	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent worker: stable scoped step append, read, and update
M7A	M7A-14	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent API: scoped approval page, detail, and fresh-auth decision
M7A	M7A-15	Complete	production-available	T08-supervised-agent	production-composed action registry exposes only readiness-proven provider actions and autonomy ceilings
M7A	M7A-16	Complete	production-available	T08-supervised-agent	production-composed v22 temporary-policy metadata with mandatory approval, TTL cleanup, and signed verification
M7A	M7A-17	Complete	production-available	T08-supervised-agent	production-composed v22 action worker signs and stores exact tenant-bound temporary runtime policy envelopes
M7A	M7A-18	Complete	production-available	T08-supervised-agent	production-composed v22 action worker verifies durable gateway readback before success
M7A	M7A-18a	Complete	production-available	T08-supervised-agent	production-composed v22 action authority claims expired temporary controls with lease fencing
M7A	M7A-18b	Complete	production-available	T08-supervised-agent	production-composed v22 action worker publishes signed empty-policy cleanup envelopes
M7A	M7A-18c	Complete	production-available	T08-supervised-agent	production-composed v22 action worker verifies cleanup readback before terminal completion
M7A	M7A-18d	Complete	production-available	T08-supervised-agent	production-composed readiness-gated action loop reconciles apply and TTL cleanup across replicas
M7A	M7A-19	Complete	production-available	T08-supervised-agent	production-composed v24 isolate-session metadata is supervised, reversible, and exact-session bound
M7A	M7A-20	Complete	production-available	T08-supervised-agent	production-composed v24 action worker applies, verifies, and cleans exact-session isolation while preserving unrelated sessions
M7A	M7A-21	Complete	component-only	T08-supervised-agent	audited component-only proof: Action: run existing test
M7A	M7A-22	Complete	component-only	T08-supervised-agent	audited component-only proof: Action: start Attack Lab verification
M7A	M7A-23	Complete	component-only	T08-supervised-agent	audited component-only proof: Action: evidence export
M7A	M7A-24	Complete	component-only	T08-supervised-agent	audited component-only proof: Action: signed webhook handoff
M7A	M7A-25	Complete	production-available	T08-supervised-agent	production-composed v21 finding-response metadata permits bounded autonomous execution with durable verification
M7A	M7A-26	Complete	production-available	T08-supervised-agent	production-composed v23 connector-revoke metadata is admin-approved, irreversible, and provider-capability filtered
M7A	M7A-27	Complete	production-available	T08-supervised-agent	production-composed v23 worker dispatches exact supported GitHub and Okta connection revocation through the durable reconciler
M7A	M7A-28	Complete	production-available	T08-supervised-agent	production-composed v23 authority verifies terminal connector state before remediating the run
M7A	M7A-29	Complete	production-available	PROD-current-composition	audited shipped composition: Built-in template registry
M7A	M7A-30	Complete	production-available	PROD-current-composition	audited shipped composition: Suspicious Egress template
M7A	M7A-31	Complete	production-available	PROD-current-composition	audited shipped composition: Credential Exposure template
M7A	M7A-32	Complete	production-available	PROD-current-composition	audited shipped composition: Prompt/Tool Injection template
M7A	M7A-33	Complete	production-available	PROD-current-composition	audited shipped composition: Repeated Policy Violation template
M7A	M7A-34	Complete	production-available	PROD-current-composition	audited shipped composition: Shadow Agent Triage template
M7A	M7A-35	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent worker: tenant-scoped finding trigger matcher
M7A	M7A-36	Complete	component-only	T07-security-agent-authority	audited component-only proof: Trigger matcher: attack path
M7A	M7A-37	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent worker: bounded runtime-decision session matcher
M7A	M7A-38	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent worker: tenant-scoped trigger fingerprint replay suppression
M7A	M7A-38a	Complete	component-only	T07-security-agent-authority	audited component-only proof: Security trigger event contract
M7A	M7A-38b	Complete	component-only	T07-security-agent-authority	audited component-only proof: automatic Security Agent trigger dispatcher
M7A	M7A-38c	Complete	component-only	T07-security-agent-authority	audited component-only proof: trigger source wiring
M7A	M7A-38d	Complete	component-only	T07-security-agent-authority	audited component-only proof: automatic trigger E2E
M7A	M7A-39	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent worker: canonical scoped evidence snapshot and digest
M7A	M7A-40	Complete	component-only	T07-security-agent-authority	audited component-only proof: Planner input separation
M7A	M7A-41	Complete	component-only	T07-security-agent-authority	audited component-only proof: Security Agent planner purpose
M7A	M7A-42	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: definition and product action-count limits
M7A	M7A-43	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: tenant and run reference validation
M7A	M7A-44	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: exact allowed-action schema validation
M7A	M7A-45	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: untrusted evidence cannot introduce action, target, URL, or argument drift
M7A	M7A-46	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: deterministic allow, approval-required, and deny decisions
M7A	M7A-47	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: mandatory approval floors for irreversible and containment actions
M7A	M7A-48	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent API: fresh-auth activation and capability-gated action enablement
M7A	M7A-49	Complete	production-available	T07-security-agent-authority	production-composed v27 Security Agent authority: step, duration, token, and tenant concurrency budgets
M7A	M7A-50	Complete	production-available	T09-agent-actions	production-composed tenant-scoped database queue with lease fencing and replay-safe run identity
M7A	M7A-51	Complete	component-only	T09-agent-actions	audited component-only proof: Run planner state
